,r9c2
0,0.0002545214664354805
1,0.0002916815895636969
2,0.00029674877864887443
3,0.00029635293337047184
4,0.00028063222632748573
5,0.00026685931729092085
6,0.0002578952179149579
7,0.0002621848115980804
8,0.0002736615437358179
9,0.00029192231194982205
10,0.00030112235278779894
11,0.00029377092959031884
12,0.00028877654007467533
13,0.000290497634659696
14,0.00029538545337692444
15,0.00033075752993505693
16,0.00035192338573309556
17,0.0003619380312780998
18,0.00040476629231901766
19,0.00041619572949831636
20,0.0004191314264251664
21,0.00041156947113923557
22,0.00040693772709830605
23,0.0004026743237365099
24,0.00041499046043463243
25,0.0004138457433938549
26,0.00040999727091189334
27,0.00038684070307547105
28,0.00037652872595526405
29,0.0003704058478743121
30,0.0003792480432091926
31,0.00038809406709286334
32,0.0004258160345179252
33,0.0005007430390913399
34,0.0005360476112867228
35,0.0006358539925571581
36,0.0007551930011877228
37,0.0008012297956374385
38,0.0009614362578556154
39,0.001123707279294563
40,0.0012162499892295912
41,0.001563249423125781
42,0.0017886548902964702
43,0.0018939155821725456
44,0.002215251091629817
45,0.002361650797392522
46,0.0024433705046576245
47,0.0027268046382268717
48,0.0027958463252193942
49,0.0028370079865911568
50,0.002770006287536124
51,0.0027052641941675945
52,0.0026150698703464883
53,0.002250216408688369
54,0.00211752252664462
55,0.0019122467880652878
56,0.0014693954828488595
57,0.0013211526070324932
58,0.001085350763240654
59,0.00075836361101124
60,0.0006803887958881925
61,0.0005557758374902705
62,0.00043676951260682243
63,0.0004162921670233165
64,0.0004010839140930309
65,0.00038566631001969254
66,0.0003657366945307754
67,0.00027330598393349176
68,0.00021110336126328117
69,0.00018984214221960446
70,0.00019449399280831002
71,0.00019884808134816774
72,0.00019988586568790817
73,0.00018269630637790873
74,0.00017169093335777256
75,0.00016225465963093356
76,0.0001430916167521066
77,0.00013968616450769585
78,0.0001396524256595756
79,0.0002012539147414501
80,0.00023083233031957908
81,0.00026151492984482567
82,0.0002850693619953309
83,0.0002501606731733633
84,0.00020293765716638282
85,0.00014316364299287997
86,0.0001387262178029372
87,0.00013733243937772433
88,0.00013626359236451553
